mapping,frequency,inclusive,exclusive
JUN/JUND<-JUND,0.3333333333333333,MYB<-JUN/JUND,
C21orf33<-EP300,0.75,,
GATA3<-MYB,0.16666666666666666,,
MYB<-E2F1,0.25,,
MYB<-JUN/JUND,0.3333333333333333,JUN/JUND<-JUND,
SULT2A1<-E2F1/DP,0.16666666666666666,E2F1/DP<-E2F1,
E2F1<-!C21orf33,0.4166666666666667,,
CD4<-!C21orf33,0.3333333333333333,,
CD4<-!MYB,0.16666666666666666,,
CD4<-!C21orf33+IL23/IL23R/JAK2/TYK2,0.08333333333333333,,
CD4<-IL23/IL23R/JAK2/TYK2+!MYB,0.08333333333333333,,
CD4<-!C21orf33+!MYB,0.16666666666666666,,
E2F1/DP<-E2F1,0.16666666666666666,SULT2A1<-E2F1/DP,
IL23/IL23R/JAK2/TYK2<-JAK2,0.16666666666666666,,
