TR:medium_TE:CellLine,TR:ELK1,TR:EP300,TR:JAK2,TR:JUND,TR:MYCBP,TR:SMAD3,TR:CEBPA,TR:FOS,TR:MYC,TR:RB1,DA:ATF3,DA:CD4,DA:FGF4,DA:GATA3,DA:MYL1,DA:SULT2A1,DA:TGFB1,DV:ATF3,DV:CD4,DV:FGF4,DV:GATA3,DV:MYL1,DV:SULT2A1,DV:TGFB1
1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,0,0,0,0,1,10,10,10,10,10,10,10,0.000105152471083,0.0,0.0,0.0773922187171398,0.0,0.0,0.0
1,1,1,1,1,1,0,0,0,0,0,10,10,10,10,10,10,10,0.0016824395373291,0.0,0.0,0.0177707676130389,0.0,0.0,0.0
1,1,1,0,1,1,0,0,0,0,0,10,10,10,10,10,10,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,1,1,1,1,1,0,1,0,0,10,10,10,10,10,10,10,0.13732912723449,0.0,0.0,0.3667718191377497,0.0,0.0,0.0
1,0,1,0,1,1,0,0,0,0,0,10,10,10,10,10,10,10,0.0114616193480546,0.0,0.0,0.291062039957939,0.0,0.0,0.0
1,1,1,1,1,1,0,0,1,0,1,10,10,10,10,10,10,10,0.0,0.0,0.0,0.4557308096740273,0.0,0.0,0.0037854889589905
1,1,1,0,1,1,1,0,1,0,0,10,10,10,10,10,10,10,0.0,0.0,0.0,0.2506834910620399,0.0,0.0,0.0
1,1,1,1,1,1,0,0,1,1,0,10,10,10,10,10,10,10,0.0076761303890641,0.0,0.0,0.1337539432176656,0.0,0.0,0.0
1,1,1,0,1,1,1,0,0,0,1,10,10,10,10,10,10,10,0.0088328075709779,0.0,0.0,0.020925341745531,0.0,0.0,0.0
1,1,1,1,1,1,1,0,0,0,0,10,10,10,10,10,10,10,0.006098843322818,0.0,0.0,0.0684542586750788,0.0,0.0,0.0
1,1,1,0,1,1,0,0,1,0,0,10,10,10,10,10,10,10,0.0113564668769716,0.0,0.0,0.083596214511041,0.0,0.0,0.000105152471083
1,1,1,1,1,1,0,0,1,0,0,10,10,10,10,10,10,10,0.0118822292323869,0.0,0.0,0.1141955835962145,0.0,0.0,0.0
